,gender,department,department_name,division,assignment_category,employee_position_title,date_first_hired,year_first_hired
3712,M,POL,Department of Police,FSB Traffic Division Automated Traffic Enforcement Section,Fulltime-Regular,Manager III,04/04/2016,2016
3713,M,FIN,Department of Finance,Division of Fiscal Management,Fulltime-Regular,Senior Management and Budget Specialist,12/17/2012,2012
3714,M,DGS,Department of General Services,Fleet Management Fleet Services,Fulltime-Regular,Mechanic Technician II,10/22/2000,2000
3715,M,POL,Department of Police,ISB Criminal Investigations Division Financial Crimes Section,Fulltime-Regular,Police Officer III,02/06/1995,1995
3716,M,POL,Department of Police,ISB Major Crimes Division Homicide and Sex Section,Fulltime-Regular,Police Officer III,06/25/1990,1990
3717,M,CCL,County Council,Council Members and Staff,Fulltime-Regular,Legislative Senior Aide I,10/07/2013,2013
3718,M,DGS,Department of General Services,Fleet Management Fleet Services,Fulltime-Regular,Mechanic Technician II,09/20/2004,2004
3719,F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,04/26/1999,1999
3720,M,CUS,Community Use of Public Facilities,Finance and Administrative Support Team,Fulltime-Regular,Information Technology Specialist III,11/01/1999,1999
3721,M,CEC,Community Engagement Cluster,Silver Spring Urban District,Fulltime-Regular,Urban District Public Service Aide,05/07/2012,2012
3722,M,DOT,Department of Transportation,Transit Services,Fulltime-Regular,Manager I,09/16/2002,2002
3723,M,POL,Department of Police,FSB Animal Services Division,Fulltime-Regular,Program Manager II,07/20/1987,1987
3724,F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,08/06/2007,2007
3725,F,HHS,Department of Health and Human Services,"Chief, Public Health",Fulltime-Regular,Management and Budget Specialist III,09/29/1986,1986
3726,M,DGS,Department of General Services,Facilities Maintenance,Fulltime-Regular,Plumber I,07/25/2016,2016
3727,F,HHS,Department of Health and Human Services,Behavioral Health Community Support Services,Fulltime-Regular,Behavioral Health Associate Counselor,10/08/2001,2001
3728,M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,10/29/2007,2007
3729,F,FRS,Fire and Rescue Services,Station 22,Fulltime-Regular,Firefighter/Rescuer III,11/16/1992,1992
3730,M,SHF,Sheriff's Office,Warrant Section,Fulltime-Regular,Deputy Sheriff Sergeant,09/18/1995,1995
3731,F,HHS,Department of Health and Human Services,Area Health Centers,Fulltime-Regular,Community Services Aide II,09/23/1985,1985
3732,M,POL,Department of Police,PSB 4th District Station,Fulltime-Regular,Police Officer III,09/24/1996,1996
3733,F,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,12/10/2007,2007
3734,M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,01/04/2016,2016
3735,M,FRS,Fire and Rescue Services,Station 15,Fulltime-Regular,Master Firefighter/Rescuer,02/11/2002,2002
3736,M,DOT,Department of Transportation,Transportation Planning and Design Section,Fulltime-Regular,Civil Works Designer,07/23/2007,2007
3737,F,LIB,Department of Public Libraries,Damascus Library,Parttime-Regular,Library Desk Assistant,09/28/2000,2000
3738,F,POL,Department of Police,FSB Traffic Division Automated Traffic Enforcement Section,Fulltime-Regular,Police Aide,02/05/2006,2006
3739,M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Motor Pool Attendant,05/15/1989,1989
3740,M,DPS,Department of Permitting Services,Team 2 Residential Inspection,Fulltime-Regular,Permitting and Code Enforcement Inspector II,06/15/1987,1987
3741,M,POL,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Officer I,10/06/2014,2014
3742,F,POL,Department of Police,ISB Criminal Investigations Division Forensic Services Section,Fulltime-Regular,Forensics Specialist I,07/16/2012,2012
3743,F,DEP,Department of Environmental Protection,Solid Waste Services Collection Operations,Fulltime-Regular,Program Specialist II,09/05/2006,2006
3744,F,COR,Correction and Rehabilitation,DS Health Services,Fulltime-Regular,Correctional Health Nurse II,06/03/2002,2002
3745,M,POL,Department of Police,FSB Animal Services Division,Fulltime-Regular,Code Enforcement Inspector II,12/30/2013,2013
3746,M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,03/21/2011,2011
3747,F,DOT,Department of Transportation,Transit Special Transportation and Medicaid,Fulltime-Regular,Income Assistance Program Specialist II,05/30/2006,2006
3748,M,DOT,Department of Transportation,Parking Management Parking Operations,Fulltime-Regular,Supervisor Parking Meter Unit,05/14/2007,2007
3749,F,HHS,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Social Worker IV,05/06/2001,2001
3750,M,FRS,Fire and Rescue Services,Station 34,Fulltime-Regular,Firefighter/Rescuer III,02/22/1994,1994
3751,F,HCA,Department of Housing and Community Affairs,Licensing,Fulltime-Regular,Program Manager II,05/22/1989,1989
3752,M,CEC,Community Engagement Cluster,Silver Spring Urban District,Fulltime-Regular,Urban District Public Service Aide,04/04/2016,2016
3753,F,HHS,Department of Health and Human Services,Adult Protective Services - Nurse Assessment,Fulltime-Regular,Community Health Nurse II,09/26/1994,1994
3754,M,POL,Department of Police,PSB 6th District Special Assignment Team,Fulltime-Regular,Police Officer III,11/29/2004,2004
3755,F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,08/05/2002,2002
3756,M,FRS,Fire and Rescue Services,Station 8,Fulltime-Regular,Firefighter/Rescuer II,09/22/2014,2014
3757,M,DLC,Department of Liquor Control,Administrative Services,Fulltime-Regular,Warehouse Assistant Supervisor,08/10/1992,1992
3758,M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,05/20/2013,2013
3759,F,DLC,Department of Liquor Control,Retail Administration,Fulltime-Regular,Program Manager II,08/29/1991,1991
3760,M,DGS,Department of General Services,Fleet Management Fleet Services,Fulltime-Regular,Mechanic Technician II,08/13/2012,2012
3761,M,DTS,Department of Technology Services,ETSD Radio Communications Services,Fulltime-Regular,Communications Equipment Technician II,03/06/2006,2006
3762,M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,07/16/2012,2012
3763,M,FRS,Fire and Rescue Services,Volunteer and Community Services Division,Fulltime-Regular,Division Chief MCFRS Volunteer Services,03/14/2005,2005
3764,M,POL,Department of Police,ISB Criminal Investigations Division Forensic Services Section,Fulltime-Regular,Latent Print Examiner,08/25/2003,2003
3765,M,POL,Department of Police,Patrol Services Bureau,Fulltime-Regular,Police Officer I,06/01/2015,2015
3766,M,FRS,Fire and Rescue Services,Emergency Communications Center (ECC),Fulltime-Regular,Master Firefighter/Rescuer,03/17/2008,2008
3767,M,LIB,Department of Public Libraries,Technology Management,Parttime-Regular,Information Technology Technician I,10/08/2012,2012
3768,M,DGS,Department of General Services,Fleet Management Services,Fulltime-Regular,Supply Technician III,03/17/2008,2008
3769,F,POL,Department of Police,FSB Traffic Division School Safety Section,Parttime-Regular,Crossing Guard,02/08/1988,1988
3770,M,FRS,Fire and Rescue Services,Training,Fulltime-Regular,Master Firefighter/Rescuer,02/14/2000,2000
3771,M,FRS,Fire and Rescue Services,Station 23,Fulltime-Regular,Master Firefighter/Rescuer,10/17/2005,2005
3772,M,FRS,Fire and Rescue Services,Third Battalion - Administration,Fulltime-Regular,Fire/Rescue Battalion Chief,08/27/1990,1990
3773,F,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,01/05/2015,2015
3774,F,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Transit Operations Supervisor,05/15/1989,1989
3775,M,FRS,Fire and Rescue Services,Station 21,Fulltime-Regular,Firefighter/Rescuer II,02/27/2012,2012
3776,M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Public Service Craftsworker,06/04/1989,1989
3777,M,HHS,Department of Health and Human Services,Facilities and Logistical Services,Fulltime-Regular,Manager III,11/18/1991,1991
3778,M,FRS,Fire and Rescue Services,Station 22,Fulltime-Regular,Master Firefighter/Rescuer,09/11/2000,2000
3779,F,CEC,Community Engagement Cluster,Gilchrist Center,Fulltime-Regular,Program Manager I,02/21/2006,2006
3780,M,REC,Department of Recreation,Olney Indoor Pool,Fulltime-Regular,Recreation Specialist,02/14/2000,2000
3781,F,HHS,Department of Health and Human Services,Support Planning,Fulltime-Regular,Program Specialist II,06/28/2004,2004
3782,M,HHS,Department of Health and Human Services,Adult Intensive Outpatient Services,Fulltime-Regular,Therapist II,08/27/1990,1990
3783,M,DLC,Department of Liquor Control,Goshen Crossing,Parttime-Regular,Liquor Store Clerk I,08/08/2016,2016
3784,M,POL,Department of Police,PSB 5th District Patrol,Fulltime-Regular,Police Officer II,02/24/2014,2014
3785,F,LIB,Department of Public Libraries,Gaithersburg Library,Fulltime-Regular,Library Assistant II,02/19/2008,2008
3786,M,FRS,Fire and Rescue Services,Station 33,Fulltime-Regular,Firefighter/Rescuer II,09/22/2014,2014
3787,F,HHS,Department of Health and Human Services,Income Supports,Fulltime-Regular,Income Assistance Program Specialist II,12/11/1989,1989
3788,M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,06/07/1998,1998
3789,M,FRS,Fire and Rescue Services,Station 29,Fulltime-Regular,Fire/Rescue Lieutenant,02/22/1994,1994
3790,M,POL,Department of Police,PSB 4th District Patrol,Fulltime-Regular,Police Officer II,01/28/2013,2013
3791,M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator I,01/14/2013,2013
3792,M,FRS,Fire and Rescue Services,Station 10,Fulltime-Regular,Master Firefighter/Rescuer,08/17/1998,1998
3793,F,OHR,Office of Human Resources,Recruitment and Selection Division,Fulltime-Regular,Human Resources Specialist III,02/07/2000,2000
3794,M,FRS,Fire and Rescue Services,Station 1,Fulltime-Regular,Firefighter/Rescuer III,02/14/2000,2000
3795,F,POL,Department of Police,FSB Traffic Division School Safety Section,Parttime-Regular,Crossing Guard,06/16/2003,2003
3796,F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,08/09/1999,1999
3797,M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,05/26/2015,2015
3798,M,HHS,Department of Health and Human Services,"Chief, Public Health",Fulltime-Regular,Manager II,08/13/2001,2001
3799,F,COR,Correction and Rehabilitation,DS MCCF Unit 1 Security,Fulltime-Regular,Correctional Officer III (Corporal),02/10/2003,2003
3800,M,FRS,Fire and Rescue Services,Station 9,Fulltime-Regular,Firefighter/Rescuer III,01/14/2013,2013
3801,M,FRS,Fire and Rescue Services,Station 40,Fulltime-Regular,Master Firefighter/Rescuer,05/16/2005,2005
3802,M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,01/09/2012,2012
3803,F,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,12/10/1995,1995
3804,F,HHS,Department of Health and Human Services,"Planning, Accountability and Customer Service",Parttime-Regular,Program Specialist II,01/02/2001,2001
3805,M,CEX,Offices of the County Executive,Chief Administrative Officer's Office,Fulltime-Regular,Manager II,11/05/2012,2012
3806,M,FRS,Fire and Rescue Services,Station 6,Fulltime-Regular,Firefighter/Rescuer II,07/29/2013,2013
3807,F,POL,Department of Police,ISB Criminal Investigations Division Crime Laboratory Section,Fulltime-Regular,Forensic Scientist,04/04/2016,2016
3808,F,CCL,County Council,Council Members and Staff,Parttime-Regular,Legislative Senior Aide II,07/15/2013,2013
3809,F,HHS,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Community Services Aide III,05/30/2006,2006
3810,M,FRS,Fire and Rescue Services,Station 20,Fulltime-Regular,Firefighter/Rescuer III,02/27/2012,2012
3811,F,POL,Department of Police,PSB 5th District Traffic Squad,Fulltime-Regular,Police Officer III,07/26/1993,1993
3812,F,REC,Department of Recreation,Office of the Director,Fulltime-Regular,Program Manager II,12/17/1986,1986
3813,M,POL,Department of Police,PSB 6th District Patrol,Fulltime-Regular,Police Officer III,07/19/2004,2004
3814,M,POL,Department of Police,PSB 6th District Traffic Squad,Fulltime-Regular,Police Officer III,09/29/1997,1997
3815,F,FRS,Fire and Rescue Services,Station 13,Fulltime-Regular,Fire/Rescue Captain,08/14/1989,1989
3816,M,FRS,Fire and Rescue Services,Station 15,Fulltime-Regular,Master Firefighter/Rescuer,05/16/2005,2005
3817,M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,05/16/2016,2016
3818,F,HHS,Department of Health and Human Services,Infants and Toddlers,Fulltime-Regular,Program Aide,11/28/2016,2016
3819,M,FRS,Fire and Rescue Services,Station 16,Fulltime-Regular,Firefighter/Rescuer III,12/13/2004,2004
3820,F,LIB,Department of Public Libraries,Chevy Chase Library,Parttime-Regular,Library Assistant I,03/14/2000,2000
3821,M,POL,Department of Police,FSB Special Operations Division,Fulltime-Regular,Police Officer III,07/21/2003,2003
3822,F,HHS,Department of Health and Human Services,Infants and Toddlers,Fulltime-Regular,Program Aide,04/10/1989,1989
3823,F,HHS,Department of Health and Human Services,Infants and Toddlers,Parttime-Regular,Psychologist,07/24/2006,2006
3824,M,FRS,Fire and Rescue Services,Recruit Training,Fulltime-Regular,Firefighter/Rescuer I (Recruit),12/12/2016,2016
3825,M,POL,Department of Police,PSB 5th District Patrol,Fulltime-Regular,Police Officer III,09/04/2007,2007
3826,M,CEX,Offices of the County Executive,CountyStat,Fulltime-Regular,Management and Budget Specialist III,06/03/2013,2013
3827,F,COR,Correction and Rehabilitation,DS MCDC Central Processing Unit,Fulltime-Regular,Correctional Supervisor (Sergeant),10/31/2005,2005
3828,M,FRS,Fire and Rescue Services,Station 22,Fulltime-Regular,Firefighter/Rescuer III,09/04/2007,2007
3829,M,DOT,Department of Transportation,Transportation Planning and Design Section,Fulltime-Regular,Construction Representative III,02/16/1993,1993
3830,F,POL,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Officer III,03/12/2001,2001
3831,M,DTS,Department of Technology Services,ESOD Public Safety Data Support,Fulltime-Regular,Senior Information Technology Specialist,05/31/2005,2005
3832,F,DLC,Department of Liquor Control,Aspen Hill,Fulltime-Regular,Liquor Store Clerk II,01/09/2006,2006
3833,M,POL,Department of Police,PSB 6th District Special Assignment Team,Fulltime-Regular,Police Officer III,01/18/2005,2005
3834,M,POL,Department of Police,PSB 5th District Patrol,Fulltime-Regular,Police Officer III,08/07/1989,1989
3835,M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator II,09/29/2008,2008
3836,M,FRS,Fire and Rescue Services,Station 22,Fulltime-Regular,Firefighter/Rescuer II,03/10/2014,2014
3837,F,DOT,Department of Transportation,Transit Nicholson Ride On,Fulltime-Regular,Bus Operator,02/25/2013,2013
3838,M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,08/08/2016,2016
3839,M,POL,Department of Police,PSB 5th District Special Assignment Team,Fulltime-Regular,Police Sergeant,08/19/1996,1996
3840,M,POL,Department of Police,MSB Training and Education Division,Fulltime-Regular,Police Officer Candidate,07/11/2016,2016
3841,M,FRS,Fire and Rescue Services,Emergency Communications Center (ECC),Fulltime-Regular,Master Firefighter/Rescuer,03/17/2008,2008
